fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
77,Jackson,55008,56400,56800,54900,54900,57300,60300,61400,61000,61200,61649,62529,62399,62538,61480,61440,61080,61215,60890,61067,61055,60699,61128,61798,61481,61099,60875,60607,60304,60026,59633,59530,58949,59282,59462,60006,60170,59518,59605,59664,60386,60366,60214,59981,59677,59362,59032,58284
79,Jasper,10741,10700,11000,10900,11000,11200,11300,11400,11200,11300,11318,11452,11491,11491,11289,11133,11135,10979,10888,10609,10607,10563,10536,10530,10528,10501,10465,10412,10387,10256,10067,10056,10015,9970,10010,9905,9807,9776,9786,9701,9706,9740,9644,9577,9623,9607,9593,9578
81,Jefferson,31848,32300,32700,33200,33000,33800,34500,35200,35500,35900,36558,37887,38004,38252,38281,38577,38103,37578,37171,37020,37088,37154,37293,38489,39094,39459,39557,39654,39695,39981,40041,39874,39805,39730,39638,39624,39545,39412,39277,38970,38804,38791,38730,38721,38534,38353,38308,38179
83,Jersey,18492,19300,19500,19500,19500,19700,19800,20000,20100,20400,20538,20802,20611,20551,20376,20243,20331,20510,20482,20539,20542,20780,20968,21129,20909,21193,21288,21448,21662,21659,21642,21751,22001,22126,22374,22500,22736,22838,23084,23060,22964,22850,22732,22638,22571,22372,21945,21941
85,Jo Daviess,21766,22300,22400,22300,22300,22700,23000,23300,23200,23500,23520,23786,23469,23185,22944,22871,22592,22294,22175,21821,21798,22008,21964,22276,22358,22252,22252,22249,22132,22242,22296,22486,22480,22701,22646,22680,22828,22758,22715,22685,22660,22621,22380,22218,22254,22086,21861,21594
87,Johnson,7550,7500,7800,8300,8600,9000,9200,9500,9500,9900,9624,9944,9964,10128,10275,10995,11173,11249,11314,11347,11324,11463,11587,11441,11849,12360,12594,12637,12931,12778,12836,12794,12454,12969,12903,12816,12889,12792,12671,12604,12610,12635,12756,12648,12601,12762,12961,12900
89,Kane,251005,255600,258500,261700,265800,267600,269300,271100,276200,277000,278405,280143,278859,280933,286381,289277,293743,298651,305242,317471,319491,325727,332476,339619,346687,356995,366912,376725,386103,396371,407847,423975,440437,453929,466884,475384,485179,495752,504437,511273,516020,519923,521843,524277,527306,530847,532553,534667
91,Kankakee,97250,98700,99700,99400,99800,100000,100500,101600,103000,104200,102926,102544,101218,99560,98513,97039,95926,95692,95481,96255,96560,97598,99215,100766,101736,101923,102296,102951,103222,103675,103842,104490,104932,105794,106744,107917,109735,111499,112658,113107,113462,113453,112926,112193,111375,110879,110053,109605
93,Kendall,26374,27000,28600,29800,30400,31200,32100,33600,34900,36600,37202,37847,37531,37093,37261,37283,37322,37813,38416,39413,39508,40290,41006,42008,43579,44924,47218,49153,51025,52845,55311,58437,62523,67740,73723,81107,90740,100917,108559,112490,115240,116711,118145,119525,121350,123355,124573,126218
95,Knox,60939,60600,61000,61300,62100,62300,62300,62100,62000,61700,61607,60973,59943,59365,58668,57554,56636,56898,56700,56393,56380,56412,56464,56580,56367,56308,56114,56081,56114,55987,55783,55329,54963,54425,53909,53513,53196,52894,52836,52817,52919,52700,52314,52235,52069,51441,50945,50638
